index,movie_id,Rating,gross_income_doller,budget,Vote,Gross,rm_apr,rm_aug,rm_dec,rm_feb,rm_jan,rm_jul,rm_jun,rm_mar,rm_may,rm_nov,rm_oct,rm_sep,Year,Duration,MetaScore,Name,producer,producer_no,pop_rank_producer,Producer_fb_like,actor_1_name,actor_1_no,pop_rank_actor_1,actor_1_fb_likes,actor_2_name,actor_2_no,pop_rank_actor_2,actor_2_fb_likes,actor_3_name,actor_3_no,pop_rank_actor_3,actor_3_fb_likes,composer,composer_no,pop_rank_composer,composer_fb_like,directors,director_no,pop_rank_director,director_fb_likes,total_rank,total_fb_like, Musical, Mystery,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Romance,Sci_Fi,Sport,Thriller,War,Western,Assamese,Bengali,Bhojpuri,English,Gujarati,Hindi,Kannada,Malayalam,Mandarin,Marathi,Punjabi,Tamil,Telugu,Tibetan,Urdu,class
3008,2249388,7.0,373271.0,1400000.0,168,675101,0,0,0,0,0,0,0,0,0,0,0,0,2001,138,0,Kasi,M. Mani,4,8.0,0,Vikram,21,7.1,209050,Kavya Madhavan,7,6.86,3621180,Kaveri,3,7.33,0,Ilaiyaraaja,76,7.53,0,Vinayan,3,6.67,0,7.25,3830230,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
3009,414040,4.2,373271.0,1400000.0,713,675101,0,0,0,0,0,0,0,0,0,0,0,0,2004,138,0,Gayab,Ram Gopal Varma,29,6.69,0,Tusshar Kapoor,10,6.0,376898,Antara Mali,2,6.5,1945,Raghuvir Yadav,5,7.0,0,Amar Mohile,29,6.21,0,Prawaal Raman,5,6.6,0,6.5,378843,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3010,842001,5.2,373271.0,1400000.0,220,675101,0,0,0,0,0,0,0,0,0,0,0,0,2006,140,0,Chess,Mahe,1,6.0,0,Dileep,23,6.74,0,Bhavana,8,6.75,8545,Vijayaraghavan,5,7.2,0,Rajamani,4,6.25,0,Raj Babu,1,6.0,0,6.49,8545,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3011,954333,6.5,373271.0,1400000.0,31,675101,0,0,0,0,0,0,0,0,0,0,0,0,2008,140,0,Kannum Kannum,M.R. Mohan Radha,1,6.0,0,G. Marimuthu,1,6.0,0,Prasanna,3,7.33,0,Udhayathara,1,6.0,0,Dhina,3,5.33,0,G. Marimuthu,1,6.0,0,6.11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
3012,445056,3.5,373271.0,770000.0,238,675101,0,0,0,1,0,0,0,0,0,0,0,0,2005,140,0,Sheesha,Ravinder Thakur,11,7.09,0,Neha Dhupia,3,5.67,3966688,Sonu Sood,2,8.0,2549732,Vivek Shauq,1,6.0,0,Sameer Sen,24,6.04,0,Ashu Trikha,4,6.25,0,6.51,6516420,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3014,1927082,6.7,373271.0,1400000.0,7,675101,0,0,0,0,0,0,0,0,0,0,0,0,2006,157,0,Mehndi Wale Hath,Sarabjeet Singh Dhillon,1,6.0,0,Gavie Chahal,1,6.0,0,Prabhleen Sandhu,1,6.0,0,Guggu Gill,4,6.5,0, Unknown,427,6.54,0,Harinder Gill,2,6.0,0,6.17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3015,1369669,3.5,1784639.0,1400000.0,237,675101,0,0,0,0,0,0,0,1,0,0,0,0,2009,160,0,Jai Veeru: Friends Forever,Shyam Bajaj,3,6.0,0,Fardeen Khan,12,5.67,6992,Kunal Khemu,3,6.33,325618,Dia Mirza,3,6.67,6247614,Raju Singh,32,6.22,0,Puneet Sira,3,5.67,0,6.09,6580224,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
3016,4771744,7.6,373271.0,1400000.0,59,675101,0,0,0,0,0,0,0,0,0,0,0,0,2006,135,0,Ghatak, Unknown,419,6.72,0,Jeet,14,6.5,0,Koyel Mallick,7,6.71,0,Tapas Pal,3,6.67,0,Jeet Gannguli,19,6.16,0,Swapan Saha,8,6.5,0,6.54,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3017,451089,6.2,393117.0,1400000.0,143,675101,0,0,0,0,0,0,0,0,0,0,0,0,2003,187,0,Jee Aayan Nu,Krishan Kumar,3,7.67,0,Harbhajan Mann,5,5.8,0,Priya Gill,4,5.75,0,Kimi Verma,2,6.0,0,Jaidev Kumar,2,5.5,0,Manmohan Singh,4,6.0,512828,6.12,512828,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
3018,272543,3.5,373271.0,1400000.0,107,675101,0,0,0,0,0,0,0,0,0,0,0,0,2001,165,0,Censor,Navneet S. Jha,1,6.0,0,Dev Anand,2,6.5,0,Hema Malini,5,7.0,392100,Shammi Kapoor,5,6.8,0,Lalit Pandit,33,7.27,9282,Dev Anand,2,6.5,0,6.68,401382,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
