Name,Year,Genre,Budget,Duration,Rating,Language,Industry
Tera Intezaar,2017,"Romance ,Thriller",1400000,108,1.7,Hindi,Bollywood
Uma,2018,Drama,1400000,149,7.3,Other Language,Other-wood
Ganagandharvan,2019,"Comedy ,Drama ,Music",1400000,140,7.7,Malayalam,Mollywood
Kaake Da Viyah,2019,Comedy,1400000,140,5.2,Other Language,Other-wood
Langto: The Film,2015,Thriller,21000,120,7.0,Other Language,Other-wood
Maradona,2018,"Action ,Comedy ,Thriller",1400000,148,6.5,Malayalam,Mollywood
Kavacham,2018,"Action ,Thriller",1400000,141,5.7,Telugu,Tollywood
Pyaar Impossible!,2010,"Comedy ,Romance",1400000,140,4.6,Hindi,Bollywood
Arrambam,2013,"Mystery ,Action ,Drama ,Thriller",8400000,157,7.1,Tamil,Kollywood
Jaddi Sardar,2019,"Action ,Drama ,Romance",1400000,150,6.2,Other Language,Other-wood
Kolanji,2019,"Comedy ,Drama",1400000,140,4.1,Tamil,Kollywood
Rakshasi,2017,Horror,350000,140,7.2,Telugu,Tollywood
The Light Between Oceans,2016,"Drama ,Romance",20000000,133,7.2,English,Hollywood
Uri: The Surgical Strike,2019,"Action ,Drama ,War",6300000,138,8.4,Hindi,Bollywood
The BFG,2016,"Adventure ,Family ,Fantasy",140000000,117,6.4,English,Hollywood
K.G.F: Chapter 1,2018,"Action ,Drama",1400000,156,8.2,Kannada,Sandalwood
Sye Raa Narasimha Reddy,2019,"Action ,Drama ,History",1400000,167,8.1,Telugu,Tollywood
Student of the Year 2,2019,"Drama ,Romance ,Sport",11200000,146,2.5,Hindi,Bollywood
Sherlock Gnomes,2018,"Mystery ,Adventure ,Animation ,Comedy ,Family ,Fantasy ,Romance",59000000,86,5.1,English,Hollywood
Watchman,2019,Thriller,1400000,95,5.2,Tamil,Kollywood
Jersey,2019,"Drama ,Sport",1400000,157,8.7,Telugu,Tollywood
Joker,2016,"Comedy ,Drama",800000,130,8.4,Tamil,Kollywood
Malaal,2019,"Action ,Drama ,Romance",1400000,153,5.7,Hindi,Bollywood
Mersal,2017,"Action ,Thriller",1400000,172,7.7,Tamil,Kollywood
Jhootha Kahin Ka,2019,Comedy,1400000,133,4.9,Hindi,Bollywood
Thugs of Hindostan,2018,"Action ,Adventure",20000000,164,4.0,Hindi,Bollywood
The Tashkent Files,2019,"Mystery ,Drama ,Thriller",1400000,134,8.0,Hindi,Bollywood
Captain Underpants: The First Epic Movie,2017,"Action ,Animation ,Comedy ,Family",38000000,89,6.2,English,Hollywood
Drishyam,2015,"Mystery ,Crime ,Drama ,Thriller",9400000,163,8.2,Hindi,Bollywood
Badhaai Ho,2018,"Comedy ,Drama",1400000,124,8.0,Hindi,Bollywood
Photograph,2019,"Drama ,Romance",1400000,110,6.9,Hindi,Bollywood
Zindagi Na Milegi Dobara,2011,"Comedy ,Drama",7700000,155,8.1,Hindi,Bollywood
The Extraordinary Journey of the Fakir,2018,"Adventure ,Comedy ,Drama",1400000,92,6.9,English,Hollywood
Trapped,2016,"Action ,Drama ,Thriller",1400000,105,7.5,Hindi,Bollywood
My Name Is Khan,2010,Drama,12000000,165,8.0,Hindi,Bollywood
Nerkonda Paarvai,2019,"Action ,Drama ,Thriller",1400000,157,8.4,Tamil,Kollywood
Geetha Govindam,2018,"Drama ,Romance",1400000,142,7.7,Telugu,Tollywood
Gong fu yu jia,2017,"Mystery ,Action ,Adventure ,Comedy ,Fantasy",65000000,107,5.2,Other Language,Other-wood
The Fifth Estate,2013,"Biography ,Drama ,Thriller",28000000,128,6.2,English,Hollywood
Pink,2016,"Drama ,Thriller",1400000,136,8.2,Hindi,Bollywood
Super Deluxe,2019,"Action ,Crime ,Drama ,Thriller",1400000,176,8.4,Tamil,Kollywood
Maanagaram,2017,"Action ,Thriller",1400000,137,8.1,Tamil,Kollywood
Bharat,2019,"Action ,Drama",1400000,150,5.4,Hindi,Bollywood
Baahubali 2: The Conclusion,2017,"Action ,Drama",35000000,167,8.2,Telugu,Tollywood
Bareilly Ki Barfi,2017,"Comedy ,Romance",1400000,116,7.5,Hindi,Bollywood
His Father's Voice,2019,"Musical ,Drama ,Fantasy ,Romance",1400000,105,5.5,English,Hollywood
Delivery Man,2013,"Comedy ,Drama",26000000,105,6.4,English,Hollywood
Don 2,2011,"Action ,Crime ,Thriller",16700000,148,7.1,Hindi,Bollywood
Magamuni,2019,"Crime ,Drama ,Thriller",1400000,156,8.2,Tamil,Kollywood
Thank You for Your Service,2017,"Biography ,Drama ,War",20000000,109,6.5,English,Hollywood
Dear Zindagi,2016,"Drama ,Romance",1400000,151,7.6,Hindi,Bollywood
2,2018,"Action ,Western",75880000,148,6.4,Tamil,Kollywood
Sanju,2018,"Biography ,Drama",1400000,155,7.8,Hindi,Bollywood
Lust Stories,2018,"Drama ,Romance",1400000,120,6.5,Hindi,Bollywood
Ratsasan,2018,"Action ,Crime ,Thriller",1400000,170,8.7,Tamil,Kollywood
Race 3,2018,"Action ,Thriller",1400000,160,2.0,Hindi,Bollywood
De De Pyaar De,2019,"Comedy ,Romance",1400000,135,6.6,Hindi,Bollywood
